BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$0.01 
2012,INFORMATION TECHNOLOGY AGENCY,$0.01 
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,$0.02 
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,$0.08 
2014,CITY CLERK,$0.10 
2015,CITY CLERK,$0.30 
2015,CITY CLERK,$0.35 
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,$0.37 
2017,CITY CLERK,$0.46 
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,$0.49 
2016,CITY CLERK,$0.51 
2016,CITY CLERK,$0.90 
2014,CULTURAL AFFAIRS,$0.98 
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$1.00 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$1.52 
2012,CITY ETHICS COMMISSION,$1.69 
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,$1.91 
2012,MAYOR,$3.00 
2016,MAYOR,$3.00 
2013,MAYOR,$3.00 
2014,MAYOR,$3.00 
2015,MAYOR,$3.00 
2017,MAYOR,$3.00 
2018,MAYOR,$3.00 
2014,MAYOR,$3.17 
2012,INFORMATION TECHNOLOGY AGENCY,$3.20 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$3.58 
2012,CITY ADMINISTRATIVE OFFICER,$4.00 
2014,CITY ADMINISTRATIVE OFFICER,$4.00 
2017,MAYOR,$4.01 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$4.16 
2016,CITY ADMINISTRATIVE OFFICER,$5.30 
2012,CITY CLERK,$6.64 
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$8.00 
2017,ANIMAL SERVICES,$8.00 
2015,CITY ADMINISTRATIVE OFFICER,$8.92 
2017,MAYOR,$9.48 
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,$9.78 
2015,ANIMAL SERVICES,$10.00 
2015,CULTURAL AFFAIRS,$10.20 
